Fiscal Year,Year,Quarter,Month,Date,DCA Entity,License Type Code,License Type,Transaction Code,Application Type,Target Cycle Time Complete Applications,Volume Complete Applications,Cycle Time Complete Applications,Volume Incomplete Applications,Cycle Time Incomplete Applications,Volume Renewal Applications,Cycle Time Renewal Applications,Comment,Website
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",CH,Chemical Engineer,N/A,Renewal Application,0,0,0,0,0,75,2.6,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Chemical Engineer,N/A,Initial License Application,60,0,0,3,75,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",CH,Chemical Engineer,N/A,Renewal Application,0,0,0,0,0,93,2.31183,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Chemical Engineer,N/A,Initial License Application,60,0,0,1,93,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",CH,Chemical Engineer,N/A,Renewal Application,0,0,0,0,0,28,2.21429,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Civil Engineer,N/A,Initial License Application,60,193,132,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",C,Civil Engineer,N/A,Renewal Application,0,0,0,0,0,2935,2.92913,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Civil Engineer,N/A,Initial License Application,60,107,18,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",C,Civil Engineer,N/A,Renewal Application,0,0,0,0,0,3473,2.31702,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Civil Engineer,N/A,Initial License Application,60,28,106,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",C,Civil Engineer,N/A,Renewal Application,0,0,0,0,0,613,2.25612,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",CS,Control System Engineer,N/A,Renewal Application,0,0,0,0,0,21,2.33333,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",CS,Control System Engineer,N/A,Renewal Application,0,0,0,0,0,33,2.30303,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",CS,Control System Engineer,N/A,Renewal Application,0,0,0,0,0,4,1.25,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Control Systems,N/A,Initial License Application,60,0,0,1,92,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Control Systems,N/A,Initial License Application,60,1,89,1,94,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Control Systems,N/A,Initial License Application,60,0,0,3,81,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",CR,Corrosion Engineer,N/A,Renewal Application,0,0,0,0,0,5,4.2,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",CR,Corrosion Engineer,N/A,Renewal Application,0,0,0,0,0,8,2.625,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",CR,Corrosion Engineer,N/A,Renewal Application,0,0,0,0,0,4,4.25,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Electrical Engineer,N/A,Initial License Application,60,3,82,25,101,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",E,Electrical Engineer,N/A,Renewal Application,0,0,0,0,0,444,2.13964,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Electrical Engineer,N/A,Initial License Application,60,3,176,14,89,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",E,Electrical Engineer,N/A,Renewal Application,0,0,0,0,0,513,2.03509,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Electrical Engineer,N/A,Initial License Application,60,6,118,38,73,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",E,Electrical Engineer,N/A,Renewal Application,0,0,0,0,0,138,1.94928,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Engineer-in- Training,N/A,Initial License Application,60,66,7,51,39,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Engineer-in- Training,N/A,Initial License Application,60,103,6,73,20,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Engineer-in- Training,N/A,Initial License Application,60,144,4,88,32,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",EG,Engineering Geologist,N/A,Renewal Application,0,0,0,0,0,68,3.47059,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",EG,Engineering Geologist,N/A,Renewal Application,0,0,0,0,0,48,2.89583,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",EG,Engineering Geologist,N/A,Renewal Application,0,0,0,0,0,65,4.36923,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Fire Protection,N/A,Initial License Application,60,0,0,3,87,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Fire Protection,N/A,Initial License Application,60,0,0,1,70,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Fire Protection,N/A,Initial License Application,60,0,0,2,68,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",FP,Fire Protection Engineer,N/A,Renewal Application,0,0,0,0,0,30,1.56667,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",FP,Fire Protection Engineer,N/A,Renewal Application,0,0,0,0,0,28,1.78571,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",FP,Fire Protection Engineer,N/A,Renewal Application,0,0,0,0,0,7,4.28571,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,"Geologist, Professional",N/A,Initial License Application,60,45,57,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,"Geologist, Professional",N/A,Initial License Application,60,28,16,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,"Geologist, Professional",N/A,Initial License Application,60,3,130,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Geologist-in-Training,N/A,Initial License Application,60,23,46,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Geologist-in-Training,N/A,Initial License Application,60,47,55,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Geologist-in-Training,N/A,Initial License Application,60,5,26,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,"Geophysicist, Professional",N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,"Geophysicist, Professional",N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,"Geophysicist, Professional",N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Geotechnical Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",GE,Geotechnical Engineer,N/A,Renewal Application,0,0,0,0,0,79,12,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Geotechnical Engineer,N/A,Initial License Application,60,2,293,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",GE,Geotechnical Engineer,N/A,Renewal Application,0,0,0,0,0,94,2.57447,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Geotechnical Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",GE,Geotechnical Engineer,N/A,Renewal Application,0,0,0,0,0,14,2,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",HG,Hydrogeologist,N/A,Renewal Application,0,0,0,0,0,43,3.46512,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",HG,Hydrogeologist,N/A,Renewal Application,0,0,0,0,0,30,2.8,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",HG,Hydrogeologist,N/A,Renewal Application,0,0,0,0,0,47,4.44681,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Industrial Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",I,Industrial Engineer,N/A,Renewal Application,0,0,0,0,0,5,3,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Industrial Engineer,N/A,Initial License Application,60,1,202,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",I,Industrial Engineer,N/A,Renewal Application,0,0,0,0,0,9,3.44444,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Industrial Engineer,N/A,Initial License Application,60,1,162,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",I,Industrial Engineer,N/A,Renewal Application,0,0,0,0,0,4,2.25,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",L,Land Surveyor,N/A,Renewal Application,0,0,0,0,0,398,2.90201,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",L,Land Surveyor,N/A,Renewal Application,0,0,0,0,0,459,2.36601,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",L,Land Surveyor,N/A,Renewal Application,0,0,0,0,0,38,2.44737,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,"Land Surveyor, Professional",N/A,Initial License Application,60,1,340,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,"Land Surveyor, Professional",N/A,Initial License Application,60,33,72,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,"Land Surveyor, Professional",N/A,Initial License Application,60,7,60,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Land Surveyor-in- Training,N/A,Initial License Application,60,4,4,3,33,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Land Surveyor-in- Training,N/A,Initial License Application,60,5,6,3,25,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Land Surveyor-in- Training,N/A,Initial License Application,60,4,6,8,44,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",MF,Manufacturing Engineer,N/A,Renewal Application,0,0,0,0,0,6,7.5,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",MF,Manufacturing Engineer,N/A,Renewal Application,0,0,0,0,0,3,4,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",MF,Manufacturing Engineer,N/A,Renewal Application,0,0,0,0,0,2,8,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Mechanical Engineer,N/A,Initial License Application,60,2,96,26,104,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",M,Mechanical Engineer,N/A,Renewal Application,0,0,0,0,0,718,2.59331,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Mechanical Engineer,N/A,Initial License Application,60,6,197,18,75,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",M,Mechanical Engineer,N/A,Renewal Application,0,0,0,0,0,812,2.27956,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Mechanical Engineer,N/A,Initial License Application,60,7,124,35,85,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",M,Mechanical Engineer,N/A,Renewal Application,0,0,0,0,0,250,2.652,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Metallurgical Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",MT,Metallurgical Engineer,N/A,Renewal Application,0,0,0,0,0,4,1.75,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Metallurgical Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",MT,Metallurgical Engineer,N/A,Renewal Application,0,0,0,0,0,11,2.45455,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Metallurgical Engineer,N/A,Initial License Application,60,0,0,1,66,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",MT,Metallurgical Engineer,N/A,Renewal Application,0,0,0,0,0,3,4,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Nuclear Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",NU,Nuclear Engineer,N/A,Renewal Application,0,0,0,0,0,14,4.07143,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Nuclear Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",NU,Nuclear Engineer,N/A,Renewal Application,0,0,0,0,0,16,3.625,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Nuclear Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",NU,Nuclear Engineer,N/A,Renewal Application,0,0,0,0,0,2,3,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Petroleum Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",P,Petroleum Engineer,N/A,Renewal Application,0,0,0,0,0,9,2.77778,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Petroleum Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",P,Petroleum Engineer,N/A,Renewal Application,0,0,0,0,0,11,2.72727,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Petroleum Engineer,N/A,Initial License Application,60,1,63,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",P,Petroleum Engineer,N/A,Renewal Application,0,0,0,0,0,7,1.42857,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",GEO,Professional Geologist,N/A,Renewal Application,0,0,0,0,0,223,2.57848,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",GEO,Professional Geologist,N/A,Renewal Application,0,0,0,0,0,183,2.95082,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",GEO,Professional Geologist,N/A,Renewal Application,0,0,0,0,0,204,2.66667,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",GP,Professional Geophysicist,N/A,Renewal Application,0,0,0,0,0,8,3.125,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",GP,Professional Geophysicist,N/A,Renewal Application,0,0,0,0,0,10,2.5,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",GP,Professional Geophysicist,N/A,Renewal Application,0,0,0,0,0,4,2.25,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",QU,Quality Engineer,N/A,Renewal Application,0,0,0,0,0,3,4.33333,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",QU,Quality Engineer,N/A,Renewal Application,0,0,0,0,0,4,2.5,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",QU,Quality Engineer,N/A,Renewal Application,0,0,0,0,0,1,4,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",SF,Safety Engineers,N/A,Renewal Application,0,0,0,0,0,4,1.75,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",SF,Safety Engineers,N/A,Renewal Application,0,0,0,0,0,10,2,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",SF,Safety Engineers,N/A,Renewal Application,0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Structural Engineer,N/A,Initial License Application,60,34,138,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",S,Structural Engineer,N/A,Renewal Application,0,0,0,0,0,234,3.24786,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Structural Engineer,N/A,Initial License Application,60,1,114,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",S,Structural Engineer,N/A,Renewal Application,0,0,0,0,0,253,2.18182,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Structural Engineer,N/A,Initial License Application,60,13,132,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",S,Structural Engineer,N/A,Renewal Application,0,0,0,0,0,54,5.7037,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Traffic Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Traffic Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Traffic Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",TR,Traffic Engineers,N/A,Renewal Application,0,0,0,0,0,26,3.73,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",TR,Traffic Engineers,N/A,Renewal Application,0,0,0,0,0,30,2.3,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",TR,Traffic Engineers,N/A,Renewal Application,0,0,0,0,0,10,2.6,,
6/30/2022,2022,Q2,December,12/31/2021,Board of Barbering and Cosmetology,1001,Barber,1015,Exam Applicant,42,117,12,28,37,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,Board of Barbering and Cosmetology,1001,Barber,1010,Pre-Application,42,0,0,31,76,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,Board of Barbering and Cosmetology,1001,Barber,1016,Re-Exam Applicant,20,163,8,4,48,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,Board of Barbering and Cosmetology,1001,Barber,1011,Reciprocity Applicant,28,4,4,1,337,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,Board of Barbering and Cosmetology,1001,Barber,2020,Renewal Application,0,0,0,0,0,1084,4,,
6/30/2022,2022,Q2,November,11/30/2021,Board of Barbering and Cosmetology,1001,Barber,1015,Exam Applicant,42,87,18,35,70,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,Board of Barbering and Cosmetology,1001,Barber,1010,Pre-Application,42,2,19,20,57,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,Board of Barbering and Cosmetology,1001,Barber,1016,Re-Exam Applicant,20,133,8,5,41,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,Board of Barbering and Cosmetology,1001,Barber,1011,Reciprocity Applicant,28,6,7,1,13,0,0,,
